,counter,src_svc,dst_svc,src_cid,dst_cid,flow,total,weight
0,43,b,c,us-west-1,us-west-1,400,400,1.0
1,43,b,c,us-east-1,us-west-1,116,116,1.0
2,43,a,b,us-west-1,us-west-1,400,400,1.0
3,43,a,b,us-east-1,us-east-1,115,115,1.0
4,43,frontend,a,us-west-1,us-west-1,400,400,1.0
5,43,frontend,a,us-east-1,us-east-1,115,115,1.0
6,43,SOURCE,frontend,XXXX,us-west-1,400,515,0.7766990291262136
7,43,SOURCE,frontend,XXXX,us-east-1,115,515,0.22330097087378642
0,44,b,c,us-west-1,us-west-1,390,390,1.0
1,44,b,c,us-east-1,us-west-1,104,104,1.0
2,44,a,b,us-west-1,us-west-1,390,390,1.0
3,44,a,b,us-east-1,us-east-1,103,103,1.0
4,44,frontend,a,us-west-1,us-west-1,390,390,1.0
5,44,frontend,a,us-east-1,us-east-1,103,103,1.0
6,44,SOURCE,frontend,XXXX,us-west-1,390,493,0.7910750507099391
7,44,SOURCE,frontend,XXXX,us-east-1,103,493,0.20892494929006086
0,45,b,c,us-west-1,us-west-1,393,393,1.0
1,45,b,c,us-east-1,us-west-1,101,101,1.0
2,45,a,b,us-west-1,us-west-1,393,393,1.0
3,45,a,b,us-east-1,us-east-1,100,100,1.0
4,45,frontend,a,us-west-1,us-west-1,393,393,1.0
5,45,frontend,a,us-east-1,us-east-1,100,100,1.0
6,45,SOURCE,frontend,XXXX,us-west-1,393,493,0.7971602434077079
7,45,SOURCE,frontend,XXXX,us-east-1,100,493,0.2028397565922921
0,46,b,c,us-west-1,us-west-1,394,394,1.0
1,46,b,c,us-east-1,us-west-1,88,88,1.0
2,46,a,b,us-west-1,us-west-1,394,394,1.0
3,46,a,b,us-east-1,us-east-1,87,87,1.0
4,46,frontend,a,us-west-1,us-west-1,394,394,1.0
5,46,frontend,a,us-east-1,us-east-1,87,87,1.0
6,46,SOURCE,frontend,XXXX,us-west-1,394,481,0.8191268191268192
7,46,SOURCE,frontend,XXXX,us-east-1,87,481,0.18087318087318088
0,47,b,c,us-west-1,us-west-1,365,365,1.0
1,47,b,c,us-east-1,us-west-1,99,99,1.0
2,47,a,b,us-west-1,us-west-1,364,364,1.0
3,47,a,b,us-east-1,us-east-1,99,99,1.0
4,47,frontend,a,us-west-1,us-west-1,364,364,1.0
5,47,frontend,a,us-east-1,us-east-1,99,99,1.0
6,47,SOURCE,frontend,XXXX,us-west-1,364,463,0.7861771058315334
7,47,SOURCE,frontend,XXXX,us-east-1,99,463,0.21382289416846653
0,48,b,c,us-west-1,us-west-1,373,373,1.0
1,48,b,c,us-east-1,us-west-1,98,98,1.0
2,48,a,b,us-west-1,us-west-1,373,373,1.0
3,48,a,b,us-east-1,us-east-1,97,97,1.0
4,48,frontend,a,us-west-1,us-west-1,373,373,1.0
5,48,frontend,a,us-east-1,us-east-1,97,97,1.0
6,48,SOURCE,frontend,XXXX,us-west-1,373,470,0.7936170212765957
7,48,SOURCE,frontend,XXXX,us-east-1,97,470,0.20638297872340425
0,49,b,c,us-west-1,us-west-1,346,346,1.0
1,49,b,c,us-east-1,us-west-1,112,112,1.0
2,49,a,b,us-west-1,us-west-1,345,345,1.0
3,49,a,b,us-east-1,us-east-1,112,112,1.0
4,49,frontend,a,us-west-1,us-west-1,345,345,1.0
5,49,frontend,a,us-east-1,us-east-1,112,112,1.0
6,49,SOURCE,frontend,XXXX,us-west-1,345,457,0.7549234135667396
7,49,SOURCE,frontend,XXXX,us-east-1,112,457,0.24507658643326038
0,50,b,c,us-west-1,us-west-1,424,424,1.0
1,50,b,c,us-east-1,us-west-1,104,104,1.0
2,50,a,b,us-west-1,us-west-1,424,424,1.0
3,50,a,b,us-east-1,us-east-1,104,104,1.0
4,50,frontend,a,us-west-1,us-west-1,424,424,1.0
5,50,frontend,a,us-east-1,us-east-1,103,103,1.0
6,50,SOURCE,frontend,XXXX,us-west-1,424,527,0.8045540796963947
7,50,SOURCE,frontend,XXXX,us-east-1,103,527,0.1954459203036053
0,51,b,c,us-west-1,us-west-1,438,438,1.0
1,51,b,c,us-east-1,us-west-1,109,109,1.0
2,51,a,b,us-west-1,us-west-1,438,438,1.0
3,51,a,b,us-east-1,us-east-1,109,109,1.0
4,51,frontend,a,us-west-1,us-west-1,438,438,1.0
5,51,frontend,a,us-east-1,us-east-1,108,108,1.0
6,51,SOURCE,frontend,XXXX,us-west-1,438,546,0.8021978021978022
7,51,SOURCE,frontend,XXXX,us-east-1,108,546,0.1978021978021978
0,52,b,c,us-west-1,us-west-1,425,425,1.0
1,52,b,c,us-east-1,us-west-1,88,88,1.0
2,52,a,b,us-west-1,us-west-1,425,425,1.0
3,52,a,b,us-east-1,us-east-1,88,88,1.0
4,52,frontend,a,us-west-1,us-west-1,425,425,1.0
5,52,frontend,a,us-east-1,us-east-1,87,87,1.0
6,52,SOURCE,frontend,XXXX,us-west-1,425,512,0.830078125
7,52,SOURCE,frontend,XXXX,us-east-1,87,512,0.169921875
0,53,b,c,us-west-1,us-west-1,402,402,1.0
1,53,b,c,us-east-1,us-west-1,99,99,1.0
2,53,a,b,us-west-1,us-west-1,402,402,1.0
3,53,a,b,us-east-1,us-east-1,98,98,1.0
4,53,frontend,a,us-west-1,us-west-1,402,402,1.0
5,53,frontend,a,us-east-1,us-east-1,98,98,1.0
6,53,SOURCE,frontend,XXXX,us-west-1,402,500,0.804
7,53,SOURCE,frontend,XXXX,us-east-1,98,500,0.196
0,54,b,c,us-west-1,us-west-1,411,411,1.0
1,54,b,c,us-east-1,us-west-1,103,103,1.0
2,54,a,b,us-west-1,us-west-1,411,411,1.0
3,54,a,b,us-east-1,us-east-1,103,103,1.0
4,54,frontend,a,us-west-1,us-west-1,411,411,1.0
5,54,frontend,a,us-east-1,us-east-1,102,102,1.0
6,54,SOURCE,frontend,XXXX,us-west-1,411,513,0.8011695906432749
7,54,SOURCE,frontend,XXXX,us-east-1,102,513,0.19883040935672514
0,55,b,c,us-west-1,us-west-1,403,403,1.0
1,55,b,c,us-east-1,us-west-1,97,97,1.0
2,55,a,b,us-west-1,us-west-1,403,403,1.0
3,55,a,b,us-east-1,us-east-1,96,96,1.0
4,55,frontend,a,us-west-1,us-west-1,403,403,1.0
5,55,frontend,a,us-east-1,us-east-1,96,96,1.0
6,55,SOURCE,frontend,XXXX,us-west-1,403,499,0.8076152304609219
7,55,SOURCE,frontend,XXXX,us-east-1,96,499,0.19238476953907815
0,56,b,c,us-west-1,us-west-1,426,426,1.0
1,56,b,c,us-east-1,us-west-1,99,99,1.0
2,56,a,b,us-west-1,us-west-1,426,426,1.0
3,56,a,b,us-east-1,us-east-1,99,99,1.0
4,56,frontend,a,us-west-1,us-west-1,426,426,1.0
5,56,frontend,a,us-east-1,us-east-1,98,98,1.0
6,56,SOURCE,frontend,XXXX,us-west-1,426,524,0.8129770992366412
7,56,SOURCE,frontend,XXXX,us-east-1,98,524,0.18702290076335878
0,57,b,c,us-west-1,us-west-1,418,418,1.0
1,57,b,c,us-east-1,us-west-1,106,106,1.0
2,57,a,b,us-west-1,us-west-1,418,418,1.0
3,57,a,b,us-east-1,us-east-1,106,106,1.0
4,57,frontend,a,us-west-1,us-west-1,418,418,1.0
5,57,frontend,a,us-east-1,us-east-1,105,105,1.0
6,57,SOURCE,frontend,XXXX,us-west-1,418,523,0.7992351816443595
7,57,SOURCE,frontend,XXXX,us-east-1,105,523,0.20076481835564053
0,58,b,c,us-west-1,us-west-1,243,243,1.0
1,58,b,c,us-east-1,us-west-1,64,64,1.0
2,58,a,b,us-west-1,us-west-1,242,242,1.0
3,58,a,b,us-east-1,us-east-1,64,64,1.0
4,58,frontend,a,us-west-1,us-west-1,242,242,1.0
5,58,frontend,a,us-east-1,us-east-1,64,64,1.0
6,58,SOURCE,frontend,XXXX,us-west-1,242,306,0.7908496732026143
7,58,SOURCE,frontend,XXXX,us-east-1,64,306,0.20915032679738563
