,counter,src_svc,dst_svc,src_cid,dst_cid,flow,weight,total
4,39,a,b,us-east-1,us-east-1,-1,1.0,-1
5,39,b,c,us-west-1,us-west-1,-1,1.0,-1
6,39,a,b,us-west-1,us-west-1,-1,1.0,-1
0,40,frontend,a,us-east-1,us-east-1,400,0.6462035541195477,619
1,40,frontend,a,us-east-1,us-west-1,219,0.35379644588045234,619
2,40,frontend,a,us-west-1,us-west-1,99,1.0,99
3,40,b,c,us-east-1,us-west-1,-1,1.0,-1
4,40,a,b,us-east-1,us-east-1,-1,1.0,-1
5,40,b,c,us-west-1,us-west-1,-1,1.0,-1
6,40,a,b,us-west-1,us-west-1,-1,1.0,-1
0,41,frontend,a,us-east-1,us-east-1,400,0.6884681583476764,581
1,41,frontend,a,us-east-1,us-west-1,181,0.31153184165232356,581
2,41,frontend,a,us-west-1,us-west-1,96,1.0,96
3,41,b,c,us-east-1,us-west-1,-1,1.0,-1
4,41,a,b,us-east-1,us-east-1,-1,1.0,-1
5,41,b,c,us-west-1,us-west-1,-1,1.0,-1
6,41,a,b,us-west-1,us-west-1,-1,1.0,-1
0,42,frontend,a,us-east-1,us-east-1,400,0.70298769771529,569
1,42,frontend,a,us-east-1,us-west-1,169,0.29701230228471004,569
2,42,frontend,a,us-west-1,us-west-1,90,1.0,90
3,42,b,c,us-east-1,us-west-1,-1,1.0,-1
4,42,a,b,us-east-1,us-east-1,-1,1.0,-1
5,42,b,c,us-west-1,us-west-1,-1,1.0,-1
6,42,a,b,us-west-1,us-west-1,-1,1.0,-1
0,43,frontend,a,us-east-1,us-east-1,400,0.6514657980456026,614
1,43,frontend,a,us-east-1,us-west-1,214,0.3485342019543974,614
2,43,frontend,a,us-west-1,us-west-1,112,1.0,112
3,43,b,c,us-east-1,us-west-1,-1,1.0,-1
4,43,a,b,us-east-1,us-east-1,-1,1.0,-1
5,43,b,c,us-west-1,us-west-1,-1,1.0,-1
6,43,a,b,us-west-1,us-west-1,-1,1.0,-1
0,44,frontend,a,us-east-1,us-east-1,400,0.6837606837606838,585
1,44,frontend,a,us-east-1,us-west-1,185,0.3162393162393162,585
2,44,frontend,a,us-west-1,us-west-1,104,1.0,104
3,44,b,c,us-east-1,us-west-1,-1,1.0,-1
4,44,a,b,us-east-1,us-east-1,-1,1.0,-1
5,44,b,c,us-west-1,us-west-1,-1,1.0,-1
6,44,a,b,us-west-1,us-west-1,-1,1.0,-1
0,45,frontend,a,us-east-1,us-east-1,400,0.6644518272425249,602
1,45,frontend,a,us-east-1,us-west-1,202,0.33554817275747506,602
2,45,frontend,a,us-west-1,us-west-1,101,1.0,101
3,45,b,c,us-east-1,us-west-1,-1,1.0,-1
4,45,a,b,us-east-1,us-east-1,-1,1.0,-1
5,45,b,c,us-west-1,us-west-1,-1,1.0,-1
6,45,a,b,us-west-1,us-west-1,-1,1.0,-1
0,46,frontend,a,us-east-1,us-east-1,400,0.6600660066006601,606
1,46,frontend,a,us-east-1,us-west-1,206,0.33993399339933994,606
2,46,frontend,a,us-west-1,us-west-1,86,1.0,86
3,46,b,c,us-east-1,us-west-1,-1,1.0,-1
4,46,a,b,us-east-1,us-east-1,-1,1.0,-1
5,46,b,c,us-west-1,us-west-1,-1,1.0,-1
6,46,a,b,us-west-1,us-west-1,-1,1.0,-1
0,47,frontend,a,us-east-1,us-east-1,400,0.6230529595015576,642
1,47,frontend,a,us-east-1,us-west-1,242,0.37694704049844235,642
2,47,frontend,a,us-west-1,us-west-1,97,1.0,97
3,47,b,c,us-east-1,us-west-1,-1,1.0,-1
4,47,a,b,us-east-1,us-east-1,-1,1.0,-1
5,47,b,c,us-west-1,us-west-1,-1,1.0,-1
6,47,a,b,us-west-1,us-west-1,-1,1.0,-1
0,48,frontend,a,us-east-1,us-east-1,400,0.6329113924050633,632
1,48,frontend,a,us-east-1,us-west-1,232,0.3670886075949367,632
2,48,frontend,a,us-west-1,us-west-1,101,1.0,101
3,48,b,c,us-east-1,us-west-1,-1,1.0,-1
4,48,a,b,us-east-1,us-east-1,-1,1.0,-1
5,48,b,c,us-west-1,us-west-1,-1,1.0,-1
6,48,a,b,us-west-1,us-west-1,-1,1.0,-1
0,49,frontend,a,us-east-1,us-east-1,400,0.644122383252818,621
1,49,frontend,a,us-east-1,us-west-1,221,0.355877616747182,621
2,49,frontend,a,us-west-1,us-west-1,111,1.0,111
3,49,b,c,us-east-1,us-west-1,-1,1.0,-1
4,49,a,b,us-east-1,us-east-1,-1,1.0,-1
5,49,b,c,us-west-1,us-west-1,-1,1.0,-1
6,49,a,b,us-west-1,us-west-1,-1,1.0,-1
0,50,frontend,a,us-east-1,us-east-1,400,0.6299212598425197,635
1,50,frontend,a,us-east-1,us-west-1,235,0.3700787401574803,635
2,50,frontend,a,us-west-1,us-west-1,103,1.0,103
3,50,b,c,us-east-1,us-west-1,-1,1.0,-1
4,50,a,b,us-east-1,us-east-1,-1,1.0,-1
