index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",8,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,123,123,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",8,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,470,568,0.8274647887323944
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",8,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,98,568,0.17253521126760563
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",8,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,497,620,0.8016129032258065
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",8,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,123,620,0.19838709677419356
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",9,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,413,608,0.6792763157894737
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",9,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,195,608,0.3207236842105263
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",9,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,123,123,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",9,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,586,586,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",9,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,117,117,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",9,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,607,730,0.8315068493150685
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",9,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,123,730,0.1684931506849315
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",9,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,586,703,0.833570412517781
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",9,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,117,703,0.16642958748221906
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",10,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,357,480,0.74375
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",10,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,123,480,0.25625
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",10,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,118,118,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",10,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,514,514,1.0
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",10,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,89,89,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",10,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,479,597,0.8023450586264657
