index_col,counter,src_svc,dst_svc,src_endpoint,dst_endpoint,src_cid,dst_cid,flow,total,weight
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",44,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,89,613,0.14518760195758565
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",44,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,524,613,0.8548123980424144
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",45,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,86,86,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",45,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,167,533,0.3133208255159475
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",45,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,366,533,0.6866791744840526
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",45,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,86,86,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",45,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,494,494,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",45,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,86,618,0.13915857605177995
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",45,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,532,618,0.86084142394822
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",45,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-east-1,86,580,0.1482758620689655
"('SOURCE', 'XXXX', 'frontend@POST@/write10kb')",45,SOURCE,frontend,SOURCE,frontend@POST@/write10kb,XXXX,us-west-1,494,580,0.8517241379310345
"('frontend@POST@/write1mb', 'us-east-1', 'compute-node@POST@/write1mb')",46,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-east-1,us-east-1,87,87,1.0
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",46,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-east-1,141,490,0.28775510204081634
"('frontend@POST@/write1mb', 'us-west-1', 'compute-node@POST@/write1mb')",46,frontend,compute-node,frontend@POST@/write1mb,compute-node@POST@/write1mb,us-west-1,us-west-1,349,490,0.7122448979591837
"('frontend@POST@/write10kb', 'us-east-1', 'compute-node@POST@/write10kb')",46,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-east-1,us-east-1,95,95,1.0
"('frontend@POST@/write10kb', 'us-west-1', 'compute-node@POST@/write10kb')",46,frontend,compute-node,frontend@POST@/write10kb,compute-node@POST@/write10kb,us-west-1,us-west-1,472,472,1.0
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",46,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-east-1,87,576,0.15104166666666666
"('SOURCE', 'XXXX', 'frontend@POST@/write1mb')",46,SOURCE,frontend,SOURCE,frontend@POST@/write1mb,XXXX,us-west-1,489,576,0.8489583333333334
